Price,Model,Mileage_km,Engine_cc,Vehicle_Age,Has_AC,Has_PowerSteering,Has_PowerMirror,Transmission_Manual,Fuel_Type_Electric,Fuel_Type_Gas,Fuel_Type_Hybrid,Fuel_Type_Petrol,Make_ford,Make_honda,Make_hyundai,Make_kia,Make_mazda,Make_mitsubishi,Make_nissan,Make_perodua,Make_suzuki,Make_toyota
8175000.0,Vitz Edition 03,95000.0,1000.0,6,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
3075000.0,Corolla 110,132000.0,1975.0,30,1,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1775000.0,At170,228000.0,1500.0,35,1,1,1,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
10590000.0,162,198000.0,2980.0,27,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3150000.0,Carina 192,180000.0,1500.0,32,1,1,1,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
3860000.0,COROLLA AE110 XE LIMITED,145000.0,1500.0,26,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
8300000.0,Dolphin LH113 Super GL,300000.0,2700.0,33,1,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1280000.0,AE81 Corolla,50000.0,1500.0,42,1,0,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
3200000.0,111,197000.0,1300.0,29,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
62200000.0,LC250 Prado First Edition,800.0,2700.0,2,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2700000.0,Starlet NP80,260000.0,1500.0,35,1,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
6400000.0,Dolphin LH113,275000.0,2770.0,36,1,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
15800000.0,KDH 211 SUPER GL,244000.0,3000.0,11,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
920000.0,Corona CT141,1234.0,2000.0,34,1,1,1,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2800000.0,Corolla Elephant Back Wagon Ce 108,335000.0,1970.0,29,1,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
7500000.0,Hiace LH129,1234.0,2770.0,35,1,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
8700000.0,Yaris Ksp210,16000.0,1000.0,3,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
1250000.0,Lh30,125000.0,3800.0,40,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
6100000.0,Corolla 141,215000.0,1600.0,18,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
13900000.0,Allion 260,47500.0,1500.0,10,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
3975000.0,Corolla 110,175222.0,2000.0,23,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
7200000.0,Noah CR42,132000.0,,26,1,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
8250000.0,LH 103,290000.0,1500.0,32,1,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
6650000.0,TOWNACE NOHA KR42 CR42,250.0,,27,1,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1120000.0,Corona AT 140,123.0,1500.0,43,1,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
6750000.0,Allion 240,225000.0,1800.0,23,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
7800000.0,Allion 240,171000.0,1500.0,20,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
6500000.0,Corolla 141,253000.0,1600.0,18,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
8190000.0,Noah Kr42 7K EFI 4Doors FlatRoof PB ABS,73000.0,1780.0,18,1,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
29000000.0,GDH 223B,84.0,2800.0,2,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
6485000.0,Allion 240,168000.0,1490.0,23,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
5390000.0,Vitz Ksp90,102000.0,1000.0,16,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
9300000.0,Allion 260 A18,185000.0,1800.0,18,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
9600000.0,Dolphin 113,1234.0,2770.0,30,1,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2275000.0,CR26,390000.0,1970.0,38,1,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
7800000.0,ALLION 260 G GRAD,168000.0,1500.0,19,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
58500000.0,Land Cruiser LC250 First Edition,132000.0,2700.0,2,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
7700000.0,Hiace LH129,1234.0,2770.0,35,1,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3550000.0,Corolla 110,250000.0,2000.0,30,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
